,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
125,I Got A Girl,I Am An Elastic Firecracker,Tripping Daisy,1995-01-01,245706,52,0.00968,0.617,0.838,0.0,0.105,-8.577,0.0498,134.639,4
126,Change - 2002 Digital Remaster,Best Of Blind Melon,Blind Melon,2005-01-01,222240,50,0.602,0.466,0.549,1.67e-05,0.213,-7.54,0.0344,79.438,4
127,All Mixed Up,311,311,1995-07-11,179600,60,0.0104,0.76,0.702,0.0,0.38,-9.404,0.0716,92.324,4
128,Nearly Lost You,Singles - Original Motion Picture Soundtrack,Various Artists,1992-06-02,246226,52,3.37e-05,0.192,0.908,0.000162,0.279,-9.127,0.072,201.254,4
129,Plowed,"Hits and B Sides, Vol. 2",Sponge,2011-12-25,204500,48,2.8e-06,0.355,0.855,0.952,0.0897,-8.399,0.0329,105.365,4
130,Feel The Pain - 2007 Remastered,Without A Sound,Dinosaur Jr.,2007-04-24,257946,0,0.00264,0.34,0.805,0.0764,0.0482,-8.323,0.049,131.404,4
131,Novocaine For The Soul,Meet The EELS: Essential EELS 1996-2006 Vol. 1,Eels,2008-01-15,187720,50,0.0127,0.393,0.765,0.0272,0.0875,-7.739,0.0649,169.288,4
132,Say Hello 2 Heaven,Temple Of The Dog,Temple Of The Dog,1991-01-01,382466,0,0.0773,0.309,0.648,0.0,0.371,-9.973,0.0317,148.068,3
133,Rearviewmirror,Vs.,Pearl Jam,1993-10-01,283706,0,0.00669,0.384,0.958,8.78e-05,0.264,-6.085,0.062,158.575,4
134,Serve The Servants,In Utero (Explicit Version),Nirvana,1993-09-21,216906,0,3.67e-06,0.422,0.922,0.0272,0.203,-8.309,0.0449,119.833,4
135,Doll Parts,Live Through This,Hole,1994-01-01,211960,62,0.147,0.245,0.542,4.05e-06,0.102,-7.159,0.0324,204.824,4
136,She Don't Use Jelly,Transmissions From the Satellite Heart,The Flaming Lips,1993-06-18,222278,60,0.207,0.33,0.556,4.39e-05,0.315,-11.494,0.0796,173.828,4
137,High,Wish,The Cure,1992-04-21,213333,48,0.0164,0.618,0.717,0.000339,0.0594,-12.107,0.03,114.802,4
138,Stop,Ritual De Lo Habitual,Jane's Addiction,1990-08-21,254839,54,0.0116,0.433,0.752,0.000667,0.59,-8.365,0.113,122.901,4
139,Jerry Was A Race Car Driver,They Can't All Be Zingers,Primus,2006-01-01,191240,50,0.0092,0.524,0.982,0.126,0.328,-2.865,0.126,122.916,4
140,Go,Vs.,Pearl Jam,1993-10-01,193000,0,7.25e-06,0.461,0.868,0.164,0.142,-8.007,0.0565,139.975,4
141,Not Enough Time,Welcome to Wherever You Are,INXS,1992,250653,45,0.0447,0.668,0.727,0.0104,0.45,-5.679,0.0414,96.006,4
142,Chloe Dancer/Crown Of Thorns,Mother Love Bone,Mother Love Bone,1992-01-01,502040,52,0.0894,0.353,0.362,3.38e-05,0.114,-13.502,0.031,141.285,4
143,River Of Deceit,Above,Mad Season,1995-03-07,302693,54,0.111,0.461,0.246,0.000374,0.0963,-13.487,0.0298,88.446,4
144,Stars,You'd Prefer An Astronaut,Hum,1995-04-11,309106,53,0.000285,0.271,0.742,0.26,0.0601,-12.669,0.0529,91.844,4
145,Into Your Arms,Come On Feel The Lemonheads,The Lemonheads,1993-10-12,164466,0,0.0271,0.48,0.891,3.24e-06,0.185,-5.001,0.0332,123.961,4
146,Naked Eye,Fever In Fever Out,Luscious Jackson,1996-01-01,280693,52,0.0863,0.737,0.657,0.0339,0.0953,-10.962,0.0284,131.022,4
147,Dizz Knee Land,Puzzle,Dada,1992-01-01,246533,50,0.0113,0.58,0.718,0.00102,0.0815,-9.035,0.0266,102.734,4
148,Pets,Porno For Pyros,Porno for Pyros,1993-04-23,216733,57,0.05,0.578,0.515,0.0268,0.119,-9.541,0.0347,112.879,4
149,Sugar Kane,Dirty,Sonic Youth,1992-01-01,357226,0,3.53e-05,0.347,0.853,0.698,0.0782,-9.518,0.0441,135.087,4
150,Molly (16 Candles),"Hits and B Sides, Vol. 2",Sponge,2011-12-25,221500,46,1.49e-05,0.459,0.673,0.00174,0.0505,-8.846,0.028,101.159,4
